cm;litros
1;13
2;37
3;68
4;104
5;145
6;191
7;240
8;293
9;349
10;408
11;470
12;535
13;603
14;673
15;745
16;820
17;897
18;976
19;1058
20;1141
21;1226
22;1313
23;1401
24;1492
25;1584
26;1678
27;1774
28;1871
29;1969
30;2069
31;2171
32;2274
33;2378
34;2484
35;2591
36;2699
37;2809
38;2920
39;3032
40;3145
41;3259
42;3375
43;3491
44;3609
45;3728
46;3848
47;3969
48;4090
49;4213
50;4337
51;4462
52;4587
53;4714
54;4841
55;4970
56;5099
57;5229
58;5359
59;5491
60;5623
61;5757
62;5890
63;6025
64;6160
65;6296
66;6433
67;6570
68;6709
69;6847
70;6987
71;7127
72;7267
73;7408
74;7550
75;7692
76;7835
77;7979
78;8122
79;8267
80;8412
81;8557
82;8703
83;8850
84;8996
85;9144
86;9291
87;9440
88;9588
89;9737
90;9886
91;10036
92;10186
93;10337
94;10488
95;10639
96;10790
97;10942
98;11094
99;11246
100;11399
101;11552
102;11705
103;11858
104;12012
105;12166
106;12320
107;12474
108;12629
109;12784
110;12938
111;13094
112;13249
113;13404
114;13560
115;13715
116;13871
117;14027
118;14183
119;14339
120;14495
121;14651
122;14807
123;14964
124;15120
125;15277
126;15433
127;15589
128;15746
129;15902
130;16059
131;16215
132;16372
133;16528
134;16684
135;16840
136;16996
137;17152
138;17308
139;17464
140;17620
141;17776
142;17931
143;18086
144;18242
145;18397
146;18552
147;18706
148;18861
149;19015
150;19169
151;19323
152;19477
153;19630
154;19783
155;19936
156;20089
157;20241
158;20393
159;20545
160;20696
161;20847
162;20998
163;21148
164;21298
165;21448
166;21597
167;21746
168;21895
169;22043
170;22191
171;22338
172;22485
173;22631
174;22777
175;22922
176;23067
177;23212
178;23356
179;23499
180;23642
181;23784
182;23926
183;24067
184;24207
185;24347
186;24486
187;24625
188;24763
189;24900
190;25037
191;25173
192;25308
193;25443
194;25577
195;25710
196;25842
197;25973
198;26104
199;26234
200;26363
201;26491
202;26618
203;26745
204;26870
205;26995
206;27119
207;27241
208;27363
209;27484
210;27604
211;27722
212;27840
213;27956
214;28072
215;28186
216;28299
217;28411
218;28522
219;28631
220;28740
221;28846
222;28952
223;29056
224;29159
225;29260
226;29360
227;29459
228;29556
229;29651
230;29745
231;29837
232;29927
233;30016
234;30103
235;30187
236;30270
237;30351
238;30430
239;30507
240;30582
241;30654
242;30724
243;30791
244;30856
245;30918
246;30976
247;31032
248;31085
249;31134
250;31179
251;31220
252;31255
253;31286
254;31309
