cm;litros
1;26
2;72
3;133
4;204
5;285
6;374
7;470
8;574
9;684
10;800
11;922
12;1.049
13;1.182
14;1.319
15;1.461
16;1.607
17;1.758
18;1.913
19;2.072
20;2.235
21;2.402
22;2.573
23;2.747
24;2.924
25;3.105
26;3.289
27;3.476
28;3.666
29;3.859
30;4.055
31;4.254
32;4.456
33;4.661
34;4.868
35;5.078
36;5.290
37;5.505
38;5.722
39;5.942
40;6.163
41;6.388
42;6.614
43;6.843
44;7.073
45;7.306
46;7.541
47;7.778
48;8.016
49;8.257
50;8.500
51;8.744
52;8.990
53;9.238
54;9.488
55;9.739
56;9.992
57;10.247
58;10.503
59;10.761
60;11.021
61;11.281
62;11.544
63;11.808
64;12.073
65;12.339
66;12.607
67;12.877
68;13.147
69;13.419
70;13.692
71;13.966
72;14.242
73;14.518
74;14.796
75;15.075
76;15.355
77;15.636
78;15.918
79;16.201
80;16.485
81;16.770
82;17.056
83;17.343
84;17.631
85;17.920
86;18.209
87;18.499
88;18.791
89;19.083
90;19.375
91;19.669
92;19.963
93;20.258
94;20.553
95;20.849
96;21.146
97;21.444
98;21.742
99;22.040
100;22.339
101;22.639
102;22.939
103;23.240
104;23.541
105;23.842
106;24.144
107;24.447
108;24.750
109;25.053
110;25.356
111;25.660
112;25.964
113;26.269
114;26.574
115;26.879
116;27.184
117;27.489
118;27.795
119;28.101
120;28.407
121;28.713
122;29.019
123;29.326
124;29.632
125;29.939
126;30.245
127;30.552
128;30.858
129;31.165
130;31.471
131;31.778
132;32.084
133;32.391
134;32.697
135;33.003
136;33.309
137;33.615
138;33.921
139;34.226
140;34.531
141;34.836
142;35.141
143;35.445
144;35.750
145;36.053
146;36.357
147;36.660
148;36.963
149;37.265
150;37.567
151;37.869
152;38.170
153;38.470
154;38.771
155;39.070
156;39.369
157;39.668
158;39.966
159;40.263
160;40.560
161;40.856
162;41.151
163;41.446
164;41.740
165;42.034
166;42.326
167;42.618
168;42.909
169;43.199
170;43.489
171;43.777
172;44.065
173;44.352
174;44.638
175;44.923
176;45.207
177;45.490
178;45.772
179;46.052
180;46.332
181;46.611
182;46.889
183;47.165
184;47.441
185;47.715
186;47.988
187;48.259
188;48.530
189;48.799
190;49.067
191;49.333
192;49.598
193;49.862
194;50.124
195;50.385
196;50.644
197;50.902
198;51.158
199;51.412
200;51.665
201;51.917
202;52.166
203;52.414
204;52.660
205;52.904
206;53.147
207;53.387
208;53.626
209;53.862
210;54.097
211;54.329
212;54.560
213;54.788
214;55.014
215;55.238
216;55.460
217;55.679
218;55.896
219;56.111
220;56.323
221;56.532
222;56.739
223;56.944
224;57.145
225;57.344
226;57.540
227;57.733
228;57.922
229;58.109
230;58.293
231;58.473
232;58.650
233;58.824
234;58.994
235;59.160
236;59.323
237;59.482
238;59.636
239;59.787
240;59.933
241;60.074
242;60.211
243;60.343
244;60.470
245;60.591
246;60.707
247;60.816
248;60.919
249;61.015
250;61.103
251;61.183
252;61.253
253;61.313
254;61.358
